EE Code,Fund Code,Fund Code Desc
A0WM,609ACB-26,DSS CSBG Agency Capacity Building
A1NP,295,CRT Local
A0A9,639-25,BHS Pharmacy
A11Z,424VA-26,COH McKinney VA
A217,605HD-26,Elderly Nutrition Home Delivered
A0OF,605HD-26,Elderly Nutrition Home Delivered
A0A6,609OTH-26,DSS CSBG Other
A167,584-26,HUD Project Teach
A1M3,609ACB-26,DSS CSBG Agency Capacity Building
A1VY,524-26,DSS CEAP Admin
A1W0,363RIT-26,Ritter
A12R,699,Crt Local Unrestricted
A01J,567-25,VA SSFF FY25
A1HZ,609OTH-26,DSS CSBG Other
A1Q4,605HD-26,Elderly Nutrition Home Delivered
A16P,424-26,COH McKinney
A1OK,605HD-26,Elderly Nutrition Home Delivered
A17A,584-26,HUD Project Teach
A1O8,605HD-26,Elderly Nutrition Home Delivered
A0G2,605HD-26,Elderly Nutrition Home Delivered
A1MS,605HD-26,Elderly Nutrition Home Delivered
A0WD,440-26,SDE CACFP ECE
A0R0,295GF,Grant Families
A0XR,580HUD-26,HUD
A0LH,337H-26,OPM Project Longevity Housing
A1UB,611F-26,DSS HIS Federal
A0NA,605HD-26,Elderly Nutrition Home Delivered
A13R,599-26,SAMSHA 2.0
A1TF,363DOU-26,Douglas
A0OT,424-26,COH McKinney
A1ZD,605HD-26,Elderly Nutrition Home Delivered
A01S,699,Crt Local Unrestricted
A1HW,481-26,Village VITA Program
A0ZI,363RIT-26,Ritter
A1KU,605HD-26,Elderly Nutrition Home Delivered
A122,605HD-26,Elderly Nutrition Home Delivered
A041,609ACB-26,DSS CSBG Agency Capacity Building
A0JP,618-26,CHFA Financial Literacy Program
A0IZ,605C-26,Elderly Nutrition Congregate
A1PM,638-25,Behavioral Health Services
A1NC,440-26,SDE CACFP ECE
A1Z6,638-25,Behavioral Health Services
A00H,614HSI-26,DSS FATHERHOOD-HSI
A0XA,699,Crt Local Unrestricted
A1W7,337H-26,OPM Project Longevity Housing
A0SU,699,Crt Local Unrestricted
A13U,424-26,COH McKinney
A0WQ,605HD-26,Elderly Nutrition Home Delivered
A0J4,605HD-26,Elderly Nutrition Home Delivered
A0I6,605HD-26,Elderly Nutrition Home Delivered
A14V,609ACB-26,DSS CSBG Agency Capacity Building
A02U,295GF,Grant Families
A1CV,555-26,DMHAS Transitional Case Management
A0DT,605C-26,Elderly Nutrition Congregate
A1BY,694-26,Third Party Catering
A1J0,424-26,COH McKinney
A0WK,650-25,Retreat
A1GG,599-26,SAMSHA 2.0
A1S1,582-26,East Hartford Shelter
A1SH,605HD-26,Elderly Nutrition Home Delivered
A16B,609LNK-26,DSS CSBG Linkages
A1TP,424-26,COH McKinney
A0BF,605C-26,Elderly Nutrition Congregate
A0R2,583-26,HUD H Pass Rapid Rehousing
A216,424-26,COH McKinney
A19M,699,Crt Local Unrestricted
A0UG,609ACB-26,DSS CSBG Agency Capacity Building
A1RA,401-26,PFT WOMEN EMPOWERING WOMEN
A1A8,584-26,HUD Project Teach
A1A9,584-26,HUD Project Teach
A03W,611F-26,DSS HIS Federal
A0VR,699,Crt Local Unrestricted
A20Z,599-26,SAMSHA 2.0
A00T,694-26,Third Party Catering
A0DR,605HD-26,Elderly Nutrition Home Delivered
A063,582ESG-26,East Hartford Shelter ESG
A19S,699,Crt Local Unrestricted
A0XH,355-26,Journey Home Unsheltered
A1U4,605C-26,Elderly Nutrition Congregate
A0CN,605HD-26,Elderly Nutrition Home Delivered
A1WE,363RIT-26,Ritter
A1R2,306S-25,DOC State Funded
A0GV,603-25,Hes IE
A0V3,496-26,DMHAS Substance Abuse Outpatient
A1I7,650-25,Retreat
A0UA,363RIT-26,Ritter
A12F,489-26,WA Youth Employment Skills Training
A08X,363RIT-26,Ritter
A20K,605HD-26,Elderly Nutrition Home Delivered
A0KN,363RIT-26,Ritter
A1RL,424-26,COH McKinney
A1VN,605HD-26,Elderly Nutrition Home Delivered
A0LF,699,Crt Local Unrestricted
A10M,605HD-26,Elderly Nutrition Home Delivered
A09P,605HD-26,Elderly Nutrition Home Delivered
A19K,609OTH-26,DSS CSBG Other
A1FU,609ACB-26,DSS CSBG Agency Capacity Building
A1JH,UNA,Unassigned
A18H,UNA,Unassigned
A1Q3,659-18,salaries 2017
A093,UNA,Unassigned
A1JM,650-20,Retreat
A0KK,650-21,Retreat
A1PG,699,Crt Local Unrestricted
A1JJ,UNA,Unassigned
A0O1,514-17,Cafcs Ssbg
A15M,638-17,Behavioral Health Services
A0XW,UNA,Unassigned
A1T4,524EI-24,CEAP Early Intake
A19C,650-25,Retreat
A1G9,650-25,Retreat
A00G,UNA,Unassigned
A18R,UNA,Unassigned
A04W,UNA,Unassigned
A0DD,UNA,Unassigned
A0ND,UNA,Unassigned
A0JL,UNA,Unassigned
A081,661-18,ACF HeadStart PA22
A0OR,524-17,Dss Ceap Admin
A163,UNA,Unassigned
A1CT,638-18,Behavioral Health Services
A08E,544-19,Oec Infanty Daycare
A1G0,638-24,Behavioral Health Services
A1HR,UNA,Unassigned
A1JI,UNA,Unassigned
A0Q6,UNA,Unassigned
A0DA,611F-23,DSS HSI Federal
A1HI,582ESG-23,Emergency Service Grant
A0M9,638-22,Behavioral Health Services
A0U2,647-18,Journey Home Navigator
A0IQ,699,Crt Local Unrestricted
A10Y,663-18,ECE Transition 
A1SO,544-25,OEC Infant Daycare
A0R8,544MID-19,ECE-Middletown
A0RH,567-19,Va Ssvf 
A1HY,699,Crt Local Unrestricted
A0HD,375SA-19,Coh Ryan White Substance Abuse
A0Y1,UNA,Unassigned
A19X,UNA,Unassigned
A1LA,UNA,Unassigned
A06B,UNA,Unassigned
A00D,524-22,Dss Ceap Admin
A0Z3,661-18,ACF HeadStart PA22
A0UC,419-17,Coh Sr Full Day
A1V0,669-18,CRT Local Unrestricted
A0ZR,661-18,ACF HeadStart PA22
A17W,UNA,Unassigned
A17S,650-20,Retreat
A0C3,UNA,Unassigned
A0NL,650-24,Retreat
A1OD,564HD-22,Home Delivered
A02X,605C-24,Elderly Nutrition Congregate
A0BV,599-24,SAMSHA 2.0
A11W,699,Crt Local Unrestricted
A1XW,544-19,Oec Infanty Daycare
A1Y4,561-18,Sde Summer Lunch
A0TX,524-23,DSS CEAP Admin
A0ZG,337CC-24,Project Longevity Care Coordination
A17O,UNA,Unassigned
A0BX,638-21,Behavioral Health Services
A03J,332-25,Healthy Families
A1AG,419-19,Coh Sr Full Day
A1OX,524-18,Dss Ceap Admin
A1GA,661-18,ACF HeadStart PA22
A131,650-22,Retreat
A1HF,605HD-22,Home Delivered
A0RG,UNA,Unassigned
A07E,650-20,Retreat
A0C9,UNA,Unassigned
A1YG,605C-23,Elderly Nutrition Congregate
A0GA,419-21,Coh Sr Full Day
A1I1,661-17,ACF HeadStart PA22
A0IK,699,Crt Local Unrestricted
A10J,306-18,Program Salaries
A0KS,UNA,Unassigned
A0DY,638-24,Behavioral Health Services
A1BS,UNA,Unassigned
A0P8,UNA,Unassigned
A103,650-24,Retreat
A01R,UNA,Unassigned
A17L,UNA,Unassigned
A0C5,UNA,Unassigned
A0SC,712-24,CRT Print Center
A0OS,524-26,DSS CEAP Admin
A073,650-19,Retreat
A17Q,UNA,Unassigned
A0Z9,UNA,Unassigned
A1DM,584-23,HUD Project Teach
A0A1,603-17,Hes-ie
A0CU,699,Crt Local Unrestricted
A0CC,650-20,Retreat
A0IE,650-24,Retreat
A1IM,363RIT-26,Ritter
A1M4,650-23,Retreat
A0R6,650-23,Retreat
A0HT,661-18,ACF HeadStart PA22
A01P,524-20,Dss Ceap Admin
A166,UNA,Unassigned
A1BV,UNA,Unassigned
A1Z8,UNA,Unassigned
A19N,661-18,ACF HeadStart PA22
A1J7,UNA,Unassigned
A147,UNA,Unassigned
A15R,661-18,ACF HeadStart PA22
A00A,669-18,CRT Local Unrestricted
A0KX,UNA,Unassigned
A0NV,UNA,Unassigned
A0I0,UNA,Unassigned
A1ZQ,650-25,Retreat
A1UZ,650-25,Retreat
A1XX,650-21,Retreat
A1F0,583-26,HUD H Pass Rapid Rehousing
A06W,UNA,Unassigned
A06P,UNA,Unassigned
A1PL,UNA,Unassigned
A10S,650-19,Retreat
A0WA,412-24,Summer Youth
A1Q1,650-19,Retreat
A1O9,419-22,Coh Sr Full Day
A0OE,UNA,Unassigned
A1PR,UNA,Unassigned
A067,UNA,Unassigned
A1MN,605C-23,Elderly Nutrition Congregate
A1BC,UNA,Unassigned
A1OL,UNA,Unassigned
A1AP,699,Crt Local Unrestricted
A0QK,661-17,ACF HeadStart PA22
A1HK,699,Crt Local Unrestricted
A06F,UNA,Unassigned
A0X4,419-19,Coh Sr Full Day
A0LM,UNA,Unassigned
A0J2,605C-20,Congregate
A0R3,UNA,Unassigned
A1PE,638-20,Behavioral Health Services
A0QF,419-20,Coh Sr Full Day
A1XD,638-18,Behavioral Health Services
A1IH,339-25,HUD Permanent Supportive Housing
A185,UNA,Unassigned
A03Y,694-17,Third Party Catering
A0UV,335-25,DSS Community Health Worker Grant
A0ON,UNA,Unassigned
A1X6,609ACB-22,CSBG Agency Capacity Building
A1IE,UNA,Unassigned
A1QZ,609ACB-23,DSS CSBG Agency Capacity Building
A089,524EI-23,CEAP Early Intake
A1ND,524EI-25,DSS CEAP Early Intake
A0GL,609CO-21,CSBG CARES ACT
A0CL,699,Crt Local Unrestricted
A0TG,514-26,CAFCA SSBG
A161,561-24,SDE Summer Lunch
A020,UNA,Unassigned
A10X,659-17,salaries 2017
A19R,UNA,Unassigned
A15E,UNA,Unassigned
A1JW,544MID-19,ECE-Middletown
A1A6,699,Crt Local Unrestricted
A0D7,424-24,COH McKinney
A1BW,699,Crt Local Unrestricted
A1UY,669-18,CRT Local Unrestricted
A0YS,419-19,Coh Sr Full Day
A1DH,UNA,Unassigned
A1CR,611-17,Dss His
A1HU,524-24,DSS CEAP Admin
A1AV,524-26,DSS CEAP Admin
A0VG,524-18,Dss Ceap Admin
A049,472-22,Dmhas Homeless Outreach
A0F8,546-18,Dss Assurance 16
A0ZK,UNA,Unassigned
A1MU,699,Crt Local Unrestricted
A009,661-18,ACF HeadStart PA22
A0AX,UNA,Unassigned
A18P,650-22,Retreat
A086,699,Crt Local Unrestricted
A0OV,UNA,Unassigned
A1CW,UNA,Unassigned
A01K,UNA,Unassigned
A1FE,524-19,Dss Ceap Admin
A1W5,650-17,Retreat
A01U,605C-20,Congregate
A1Q8,UNA,Unassigned
A0BR,661-18,ACF HeadStart PA22
A0WV,605HD-24,Elderly Nutrition Home Delivered
A1H6,605HD-24,Elderly Nutrition Home Delivered
A0BL,UNA,Unassigned
A0PJ,661-18,ACF HeadStart PA22
A0G8,363RIT-26,Ritter
A1XV,UNA,Unassigned
A1QO,605-18,Elderly Nutrition
A0VS,605C-24,Elderly Nutrition Congregate
A0OH,UNA,Unassigned
A15N,UNA,Unassigned
A0N1,UNA,Unassigned
A1NF,699,Crt Local Unrestricted
A1QU,699,Crt Local Unrestricted
A1IS,544-26,OEC Infant Daycare
A124,661-18,ACF HeadStart PA22
A1K5,524-24,DSS CEAP Admin
A0KP,699,Crt Local Unrestricted
A045,UNA,Unassigned
A1NQ,UNA,Unassigned
A062,419-20,Coh Sr Full Day
A0F2,524-24,DSS CEAP Admin
A19P,419-20,Coh Sr Full Day
A19Y,564C-23,ENP Midstate Region Congregate
A20R,306S-26,DOC Scattered Site Housing
A0HO,441-18,Sde Cacfp After School
A08M,605C-24,Elderly Nutrition Congregate
A1X7,544-18,Oec Infanty Daycare
A0W1,699,Crt Local Unrestricted
A00L,UNA,Unassigned
A213,605C-26,Elderly Nutrition Congregate
A0GS,699,Crt Local Unrestricted
A15B,UNA,Unassigned
A12S,555-22,Dmhas Transitional Case Management
A1BG,605HD-20,Home Delivered
A0VZ,440-18,Sde Cacfp Headstart
A0L4,412-25,Summer Youth
A03S,650-20,Retreat
A1ZB,694-22,Third Party Catering
A0K6,598-26,SAMSHA HARP
A14W,650-18,Retreat
A0AA,UNA,Unassigned
A1QR,301-19,Deep Weatherization
A1A5,638-23,Behavioral Health Services
A0B5,UNA,Unassigned
A1YE,669-18,CRT Local Unrestricted
A1O1,UNA,Unassigned
A0LL,583-26,HUD H Pass Rapid Rehousing
A01X,UNA,Unassigned
A11F,420-19,Coh Sr Wrap 
A1DE,UNA,Unassigned
A0NM,UNA,Unassigned
A0O2,UNA,Unassigned
A01N,661-18,ACF HeadStart PA22
A05B,694-21,Third Party Catering
A1HC,UNA,Unassigned
A1NM,UNA,Unassigned
A0GF,661-18,ACF HeadStart PA22
A0N0,UNA,Unassigned
A1QG,659-18,salaries 2017
A10R,650-25,Retreat
A0L8,UNA,Unassigned
A0MB,UNA,Unassigned
A13S,UNA,Unassigned
A1DC,335-25,DSS Community Health Worker Grant
A1G6,659-18,salaries 2017
A18U,UNA,Unassigned
A1DW,501-17,Usdol-youthbuild 26185
A1OO,699,Crt Local Unrestricted
A0XD,UNA,Unassigned
A1OB,UNA,Unassigned
A14X,UNA,Unassigned
A11Y,650-19,Retreat
A11T,605HD-22,Home Delivered
A17R,609ACB-22,CSBG Agency Capacity Building
A1GB,582ESG-26,East Hartford Shelter ESG
A0VN,UNA,Unassigned
A0PF,306S-23,DOC State Funded
A05J,419-23,Coh Sr Full Day
A10O,582ESG-26,East Hartford Shelter ESG
A17K,UNA,Unassigned
A1YY,UNA,Unassigned
A1D8,524-18,Dss Ceap Admin
A181,UNA,Unassigned
A1B1,321-22,Htfd Health Community Responders
A1GP,UNA,Unassigned
A19A,544-24,OEC Infant Daycare
A175,650-19,Retreat
A0LZ,UNA,Unassigned
A0RC,UNA,Unassigned
A0Y7,669-18,CRT Local Unrestricted
A02Q,605C-19,Congregate
A02W,611S-22,State Portion
A1G7,UNA,Unassigned
A1JZ,661-18,ACF HeadStart PA22
A1U5,544-20,Oec Infanty Daycare
A1VM,663-18,ECE Transition 
A1R1,UNA,Unassigned
A0NF,UNA,Unassigned
A0PZ,605C-22,Congregate
A0HV,609-18,Dss Csbg
A21E,605HD-26,Elderly Nutrition Home Delivered
A0T2,363DOU-26,Douglas
A0JS,661-18,ACF HeadStart PA22
A0FS,661-18,ACF HeadStart PA22
A0VA,332-25,Healthy Families
A1JA,605HD-22,Home Delivered
A0P9,605HD-22,Home Delivered
A1BL,UNA,Unassigned
A0ZT,661-18,ACF HeadStart PA22
A0SG,544-18,Oec Infanty Daycare
A0QC,605HD-24,Elderly Nutrition Home Delivered
A03N,301-26,Deep Weatherization
A0OO,321-22,Htfd Health Community Responders
A1N1,544-18,Oec Infanty Daycare
A1UV,524-22,Dss Ceap Admin
A06M,UNA,Unassigned
A1FC,339-26,HUD Permanent Supportive Housing
A1DP,661-18,ACF HeadStart PA22
A15V,UNA,Unassigned
A0ZH,UNA,Unassigned
A0WL,UNA,Unassigned
A1R6,UNA,Unassigned
A1LG,561-21,Sde Summer Lunch
A1KD,638-21,Behavioral Health Services
A0C0,661-17,ACF HeadStart PA22
A1Z9,419-21,Coh Sr Full Day
A1Z7,330-23,OEC Workforce Pipeline
A1ZM,661-18,ACF HeadStart PA22
A1J3,UNA,Unassigned
A0NW,650-24,Retreat
A100,605-17,Elderly Nutrition
A1YR,564C-23,ENP Midstate Region Congregate
A0PY,UNA,Unassigned
A109,661-17,ACF HeadStart PA22
A0F7,611S-26,DSS HSI State
A0FO,605HD-23,Elderly Nutrition Home Delivered
A201,524-26,DSS CEAP Admin
A0PG,UNA,Unassigned
A1C8,524-18,Dss Ceap Admin
A13Z,UNA,Unassigned
A0GN,605HD-23,Elderly Nutrition Home Delivered
A1MA,UNA,Unassigned
A0PE,332-25,Healthy Families
A1UC,UNA,Unassigned
A0M6,544-17,Oec Infanty Daycare
A0YE,UNA,Unassigned
A0JB,424VA-25,COH McKinney VA
A1CX,524-17,Dss Ceap Admin
A0P4,699,Crt Local Unrestricted
A002,524EI-22,Ceap Early Intake
A16E,650-21,Retreat
A0DJ,661-18,ACF HeadStart PA22
A1WT,712-21,CRT Print Center
A0TJ,583-26,HUD H Pass Rapid Rehousing
A1F9,555-21,Dmhas Transitional Case Management
A0TO,UNA,Unassigned
A199,661-18,ACF HeadStart PA22
A04T,564C-22,Congregate
A0X2,555-19,Dmhas Transitional Case Management
A1VF,605C-25,Elderly Nutrition Congregate
A12V,UNA,Unassigned
A04B,661-18,ACF HeadStart PA22
A1TI,UNA,Unassigned
A057,564C-23,ENP Midstate Region Congregate
A1VE,661-18,ACF HeadStart PA22
A1AJ,650-23,Retreat
A1MP,584-20,Hud Project Teach
A10D,659-17,salaries 2017
A1LF,UNA,Unassigned
A13A,650-21,Retreat
A0QU,583-21,HUD Rapid Housing
A1H3,UNA,Unassigned
A1J6,UNA,Unassigned
A1JY,650-25,Retreat
A0M5,419-22,Coh Sr Full Day
A15X,699,Crt Local Unrestricted
A13V,UNA,Unassigned
A0X1,661-17,ACF HeadStart PA22
A0IT,544-24,OEC Infant Daycare
A0IS,544-25,OEC Infant Daycare
A1FY,611-17,Dss His
A1U8,669-18,CRT Local Unrestricted
A1H8,661-18,ACF HeadStart PA22
A0RP,583-22,HUD Rapid Housing
A1RW,UNA,Unassigned
A1GF,UNA,Unassigned
A016,UNA,Unassigned
A0KH,546-25,DSS Assurance 16
A0FA,605-17,Elderly Nutrition
A0MF,712-25,CRT Print Center
A1ZX,363RIT-26,Ritter
A0AM,UNA,Unassigned
A0CQ,650-21,Retreat
A19E,363RIT-26,Ritter
A1DD,419-20,Coh Sr Full Day
A0XB,638-17,Behavioral Health Services
A048,UNA,Unassigned
A1TN,699,Crt Local Unrestricted
A1YP,638-25,Behavioral Health Services
A05F,638-25,Behavioral Health Services
A05P,363DOU-26,Douglas
A0ML,419-23,Coh Sr Full Day
A1CD,609-19,CSBG
A04Y,605HD-22,Home Delivered
A04C,544-20,Oec Infanty Daycare
A1OV,609ACB-20,CSBG Agency Capacity Building
A1YU,661-18,ACF HeadStart PA22
A022,UNA,Unassigned
A1H4,UNA,Unassigned
A1KY,UNA,Unassigned
A1PT,561-23,SDE Summer Lunch
A18C,699,Crt Local Unrestricted
A21C,699,Crt Local Unrestricted
A1GO,609-18,Dss Csbg
A04S,UNA,Unassigned
A0YI,UNA,Unassigned
A1YK,UNA,Unassigned
A11G,605HD-23,Elderly Nutrition Home Delivered
A0V2,650-25,Retreat
A14F,661-18,ACF HeadStart PA22
A0U1,650-19,Retreat
A0PW,UNA,Unassigned
A135,UNA,Unassigned
A1LC,605C-20,Congregate
A1DY,417-19,Oec Headstart Services
A0TN,419-19,Coh Sr Full Day
A0DM,605C-22,Congregate
A1AH,UNA,Unassigned
A1IG,UNA,Unassigned
A1GY,UNA,Unassigned
A0WY,699,Crt Local Unrestricted
A07S,544-21,Oec Infanty Daycare
A1LT,605HD-26,Elderly Nutrition Home Delivered
A1OF,524-22,Dss Ceap Admin
A1DL,335-25,DSS Community Health Worker Grant
A1LU,661-17,ACF HeadStart PA22
A1KR,332-25,Healthy Families
A0XF,446-20,Va Veterans Crossing
A0QV,699,Crt Local Unrestricted
A1XB,650-24,Retreat
A00W,650-18,Retreat
A0JR,661-17,ACF HeadStart PA22
A0S6,605C-25,Elderly Nutrition Congregate
A168,UNA,Unassigned
A0OX,661-17,ACF HeadStart PA22
A1N9,UNA,Unassigned
A0AI,UNA,Unassigned
A1C4,555-23,Dmhas Transitional Case Management
A17D,661-18,ACF HeadStart PA22
A1FW,UNA,Unassigned
A1ZK,UNA,Unassigned
A0WE,424-18,Coh Mckinney
A20S,UNA,Unassigned
A1OP,650-25,Retreat
A0PL,332-25,Healthy Families
A16K,UNA,Unassigned
A0BD,699,Crt Local Unrestricted
A0S5,582ESG-22,Emergency Service Grant
A06Y,609-18,Dss Csbg
A1L2,638-18,Behavioral Health Services
A0NU,699,Crt Local Unrestricted
A1AY,605HD-22,Home Delivered
A07W,UNA,Unassigned
A0K0,UNA,Unassigned
A02H,546-21,Dss Assurance 16
A1V3,524-17,Dss Ceap Admin
A1TT,UNA,Unassigned
A1SP,661-18,ACF HeadStart PA22
A1KT,605-17,Elderly Nutrition
A1YX,564C-19,Congregate
A0J5,UNA,Unassigned
A0RM,564C-19,Congregate
A0QB,605HD-19,Home Delivered
A0XK,301-21,Deep Weatherization
A00E,699,Crt Local Unrestricted
A13E,UNA,Unassigned
A20W,UNA,Unassigned
A042,544-22,Oec Infanty Daycare
A0WH,UNA,Unassigned
A0JN,UNA,Unassigned
A1CB,524-20,Dss Ceap Admin
A1AD,UNA,Unassigned
A0FX,605HD-24,Elderly Nutrition Home Delivered
A1ME,638-24,Behavioral Health Services
A0WF,605HD-20,Home Delivered
A0I2,524-18,Dss Ceap Admin
A0W8,UNA,Unassigned
A0SV,699,Crt Local Unrestricted
A0FM,546-23,DSS Assurance 16
A101,661-18,ACF HeadStart PA22
A1SY,UNA,Unassigned
A0AY,UNA,Unassigned
A092,605C-19,Congregate
A1SI,UNA,Unassigned
A1FK,UNA,Unassigned
A0TW,UNA,Unassigned
A1SV,UNA,Unassigned
A1UP,699,Crt Local Unrestricted
A08V,420-19,Coh Sr Wrap 
A0B9,650-18,Retreat
A077,UNA,Unassigned
A0WT,UNA,Unassigned
A1SF,650-19,Retreat
A0XL,699,Crt Local Unrestricted
A0JU,561-17,Sde Summer Lunch
A1FP,567-25,VA SSFF FY25
A116,UNA,Unassigned
A087,599-25,SAMSHA 2.0
A0HP,UNA,Unassigned
A0CS,650-25,Retreat
A0WW,UNA,Unassigned
A1M0,524-19,Dss Ceap Admin
A0QD,650-24,Retreat
A0FG,650-21,Retreat
A0X9,424-26,COH McKinney
A18L,UNA,Unassigned
A0MO,650-25,Retreat
A1FG,561-21,Sde Summer Lunch
A0SW,567-25,VA SSFF FY25
A1FB,306S-26,DOC Scattered Site Housing
A1UT,363JOB-26,Job Corps
A1KW,605C-21,Congregate
A184,582-20,East Hartford Shelter
A1TG,600-21,Samsha Grant
A06V,UNA,Unassigned
A1FO,UNA,Unassigned
A1SL,650-21,Retreat
A180,637-21,DSS Community Resource Grant
A1XG,544-18,Oec Infanty Daycare
A1X9,UNA,Unassigned
A0P3,UNA,Unassigned
