EE Code,Fund Code,Fund Code Desc
A0X6,442-18,Sde Cacfp Daycare Homes
A0QI,544-18,Oec Infanty Daycare
A0P1,UNA,Unassigned
A09O,UNA,Unassigned
A1UA,UNA,Unassigned
A202,321-23,Htfd Health Community Responders
A1WV,419-22,Coh Sr Full Day
A13N,UNA,Unassigned
A068,UNA,Unassigned
A0HI,661-18,ACF HeadStart PA22
A0MI,UNA,Unassigned
A1H5,661-18,ACF HeadStart PA22
A0XC,UNA,Unassigned
A1DT,UNA,Unassigned
A0HG,524-22,Dss Ceap Admin
A18Q,646-18,Hud Continuum Of Care Planning
A10W,661-18,ACF HeadStart PA22
A08I,321-23,Htfd Health Community Responders
A0QE,638-21,Behavioral Health Services
A0VX,412SU-21,CWP Summer Youth Start Up
A0QX,382-26,HUD CRT PSH Consolidated
A0CO,544-23,Oec Infant Daycare
A0I5,659-17,salaries 2017
A0JA,UNA,Unassigned
A07X,650-19,Retreat
A1D5,UNA,Unassigned
A187,UNA,Unassigned
A053,609CO-22,CSBG CARES ACT
A0U0,UNA,Unassigned
A0B2,524-21,Dss Ceap Admin
A0Y2,UNA,Unassigned
A0VO,780-17,Asian Family Serv-behavioral Health
A1MF,622-19,USDOL YOUTHBUILD YB 29966
A014,UNA,Unassigned
A0M8,332-25,Healthy Families
A0FC,650-21,Retreat
A203,524-26,DSS CEAP Admin
A0ZZ,424-25,COH McKinney
A1NZ,699,Crt Local Unrestricted
A0QA,661-17,ACF HeadStart PA22
A1LE,419-24,COH SR Full Day
A03M,699,Crt Local Unrestricted
A0I9,611F-26,DSS HIS Federal
A0ID,561-19,Sde Summer Lunch
A0LS,524-18,Dss Ceap Admin
A0BP,650-24,Retreat
A0HJ,332-25,Healthy Families
A0Q3,UNA,Unassigned
A1T6,650-25,Retreat
A0PR,669-18,CRT Local Unrestricted
A04N,UNA,Unassigned
A204,UNA,Unassigned
A1RT,669-18,CRT Local Unrestricted
A080,661-18,ACF HeadStart PA22
A1CH,661-17,ACF HeadStart PA22
A1LZ,650-17,Retreat
A0RK,UNA,Unassigned
A188,524-18,Dss Ceap Admin
A0FV,UNA,Unassigned
A0S9,UNA,Unassigned
A1RR,UNA,Unassigned
A12E,650-22,Retreat
A00V,306S-23,DOC State Funded
A0S2,661-18,ACF HeadStart PA22
A0GU,419-18,Coh Sr Full Day
A12T,UNA,Unassigned
A1A4,699,Crt Local Unrestricted
A10T,611S-26,DSS HSI State
A0Y9,524-21,Dss Ceap Admin
A1UH,UNA,Unassigned
A1P7,650-24,Retreat
A044,650-23,Retreat
A0VT,650-25,Retreat
A1VV,UNA,Unassigned
A1S2,659-18,salaries 2017
A07T,650-19,Retreat
A00K,UNA,Unassigned
A1QB,544-25,OEC Infant Daycare
A00J,UNA,Unassigned
A06G,605HD-23,Elderly Nutrition Home Delivered
A1US,419-19,Coh Sr Full Day
A143,306S-25,DOC State Funded
A0LU,UNA,Unassigned
A1AE,UNA,Unassigned
A0AN,UNA,Unassigned
A11N,650-18,Retreat
A12X,UNA,Unassigned
A16Z,UNA,Unassigned
A0OQ,564C-22,Congregate
A19G,659-18,salaries 2017
A1TV,UNA,Unassigned
A1UK,363RIT-26,Ritter
A07V,UNA,Unassigned
A1J2,UNA,Unassigned
A0GD,661-18,ACF HeadStart PA22
A123,UNA,Unassigned
A0ZD,UNA,Unassigned
A00X,UNA,Unassigned
A18V,609ACB-24,DSS CSBG Agency Capacity Building
A170,306-19,Program Salaries
A02C,440-23,SDE CACFP ECE
A0D1,UNA,Unassigned
A0KY,609-18,Dss Csbg
A035,524-24,DSS CEAP Admin
A0K8,694-17,Third Party Catering
A0DG,UNA,Unassigned
A1D3,561-18,Sde Summer Lunch
A0DN,605-18,Elderly Nutrition
A1DS,524-25,DSS CEAP Admin
A15C,605C-25,Elderly Nutrition Congregate
A08D,650-22,Retreat
A0QJ,321-26,Htfd Health Community Responders
A1J5,544-26,OEC Infant Daycare
A1FX,363RIT-26,Ritter
A0RR,UNA,Unassigned
A0A3,659-18,salaries 2017
A01F,661-18,ACF HeadStart PA22
A1HN,UNA,Unassigned
A0TM,UNA,Unassigned
A134,524-19,Dss Ceap Admin
A0Z8,605C-25,Elderly Nutrition Congregate
A1H7,638-20,Behavioral Health Services
A19L,UNA,Unassigned
A0DC,609OTH-24,DSS CSBG Other
A10V,659-18,salaries 2017
A1J1,564HD-21,Home Delivered
A1CJ,UNA,Unassigned
A0LP,337H-26,OPM Project Longevity Housing
A1TQ,650-21,Retreat
A09B,UNA,Unassigned
A205,524-17,Dss Ceap Admin
A129,605C-24,Elderly Nutrition Congregate
A17I,544-19,Oec Infanty Daycare
A133,650-18,Retreat
A064,524-22,Dss Ceap Admin
A0AK,UNA,Unassigned
A0RX,UNA,Unassigned
A1QJ,659-18,salaries 2017
A0M0,424-26,COH McKinney
A03R,363JOB-26,Job Corps
A0UF,424-18,Coh Mckinney
A1CS,661-18,ACF HeadStart PA22
A0CD,UNA,Unassigned
A0M2,UNA,Unassigned
A1K1,UNA,Unassigned
A0BW,501-17,Usdol-youthbuild 26185
A0P6,638-22,Behavioral Health Services
A1GW,UNA,Unassigned
A1F1,659-18,salaries 2017
A0YY,UNA,Unassigned
A0RA,UNA,Unassigned
A0RB,659-18,salaries 2017
A0L5,UNA,Unassigned
A1PH,661-18,ACF HeadStart PA22
A171,UNA,Unassigned
A17C,419-19,Coh Sr Full Day
A1HB,UNA,Unassigned
A1Y9,650-24,Retreat
A0ZO,669-18,CRT Local Unrestricted
A0SO,609-17,Dss Csbg
A1C5,UNA,Unassigned
A0P2,555-22,Dmhas Transitional Case Management
A00M,605HD-24,Elderly Nutrition Home Delivered
A14O,UNA,Unassigned
A192,321-26,Htfd Health Community Responders
A15F,447-26,VA GPD Case Management
A1UJ,419-19,Coh Sr Full Day
A1BD,650-18,Retreat
A0D8,609CO-23,CSBG Cares Act
A154,524-25,DSS CEAP Admin
A1JX,UNA,Unassigned
A1RD,524-17,Dss Ceap Admin
A1TC,661-17,ACF HeadStart PA22
A1VD,419-20,Coh Sr Full Day
A1GE,619-18,DPH HIV Counseling
A156,650-25,Retreat
A0Q5,638-24,Behavioral Health Services
A1XY,UNA,Unassigned
A03U,544-24,OEC Infant Daycare
A1T8,544-18,Oec Infanty Daycare
A1WM,419-22,Coh Sr Full Day
A1VK,UNA,Unassigned
A1HA,699,Crt Local Unrestricted
A07K,699,Crt Local Unrestricted
A1N2,661-18,ACF HeadStart PA22
A1T5,UNA,Unassigned
A0GY,669-18,CRT Local Unrestricted
A0UU,699,Crt Local Unrestricted
A0HL,564HD-23,ENP Midstate Region Home Delivered
A09N,699,Crt Local Unrestricted
A05V,544MID-18,ECE-Middletown
A1HD,UNA,Unassigned
A0OY,699,Crt Local Unrestricted
A12W,363RIT-26,Ritter
A03Z,564HD-21,Home Delivered
A1G8,UNA,Unassigned
A0CJ,514-24,CAFCA SSBG
A1N4,669-18,CRT Local Unrestricted
A028,659-17,salaries 2017
A1T9,609CO-23,CSBG Cares Act
A1QS,650-19,Retreat
A1SX,419-21,Coh Sr Full Day
A1S8,UNA,Unassigned
A0C7,UNA,Unassigned
A046,301-21,Deep Weatherization
A11K,699,Crt Local Unrestricted
A0XE,419-24,COH SR Full Day
A14L,524-19,Dss Ceap Admin
A01A,694C-20,Catering-External
A1BF,650-24,Retreat
A0L2,544-25,OEC Infant Daycare
A1YC,544-19,Oec Infanty Daycare
A0Z4,415-18,Oec Headstart Enhancement
A1RS,UNA,Unassigned
A1WX,699,Crt Local Unrestricted
A1RU,UNA,Unassigned
A04I,605HD-24,Elderly Nutrition Home Delivered
A1K0,419-19,Coh Sr Full Day
A1BH,699,Crt Local Unrestricted
A13G,661-18,ACF HeadStart PA22
A1JB,UNA,Unassigned
A1NE,564HD-23,ENP Midstate Region Home Delivered
A19J,650-21,Retreat
A1UM,650-25,Retreat
A018,UNA,Unassigned
A16V,659-18,salaries 2017
A0ZU,661-17,ACF HeadStart PA22
A0KV,699,Crt Local Unrestricted
A0F1,524-21,Dss Ceap Admin
A1VA,669-18,CRT Local Unrestricted
A0BK,363RIT-26,Ritter
A0NP,424-26,COH McKinney
A1AO,609CO-21,CSBG CARES ACT
A0AH,699,Crt Local Unrestricted
A0NK,582ESG-26,East Hartford Shelter ESG
A0PB,605HD-25,Elderly Nutrition Home Delivered
A10P,699,Crt Local Unrestricted
A1PY,609-18,Dss Csbg
A12B,524-26,DSS CEAP Admin
A0ZS,699,Crt Local Unrestricted
A1IW,UNA,Unassigned
A16C,605HD-21,Home Delivered
A0D3,UNA,Unassigned
A1Q2,661-18,ACF HeadStart PA22
A1JQ,UNA,Unassigned
A0TK,UNA,Unassigned
A1YF,UNA,Unassigned
A1JN,424-26,COH McKinney
A019,UNA,Unassigned
A04E,UNA,Unassigned
A0WR,UNA,Unassigned
A0G1,306S-24,DOC State Funded
A12J,321-22,Htfd Health Community Responders
A02E,544-22,Oec Infanty Daycare
A0GM,650-18,Retreat
A1FD,650-21,Retreat
A206,524-26,DSS CEAP Admin
A071,564C-23,ENP Midstate Region Congregate
A088,424-21,Coh Mckinney
A02M,514-17,Cafcs Ssbg
A1WJ,669-18,CRT Local Unrestricted
A1XL,UNA,Unassigned
A1T0,638-19,Behavioral Health Services
A0S4,650-22,Retreat
A1XH,544-22,Oec Infanty Daycare
A1ZV,609ACB-26,DSS CSBG Agency Capacity Building
A1S6,UNA,Unassigned
A07R,605HD-24,Elderly Nutrition Home Delivered
A1I0,605C-25,Elderly Nutrition Congregate
A01G,609ACB-25,DSS CSBG Agency Capacity Building
A1WB,UNA,Unassigned
A1JC,661-18,ACF HeadStart PA22
A1FN,650-20,Retreat
A1VT,661-17,ACF HeadStart PA22
A13F,UNA,Unassigned
A18I,546-18,Dss Assurance 16
A210,650-25,Retreat
A085,524-20,Dss Ceap Admin
A1CL,669-18,CRT Local Unrestricted
A0JY,UNA,Unassigned
A0MT,UNA,Unassigned
A0AP,661-18,ACF HeadStart PA22
A0AW,567-17,Va Ssvf
A06J,650-17,Retreat
A091,UNA,Unassigned
A0J3,301-26,Deep Weatherization
A078,419-17,Coh Sr Full Day
A0Y0,UNA,Unassigned
A15Z,605-17,Elderly Nutrition
A0OZ,524-26,DSS CEAP Admin
A0TU,650-25,Retreat
A08O,UNA,Unassigned
A0W4,699,Crt Local Unrestricted
A1PF,544-21,Oec Infanty Daycare
A0W0,419-21,Coh Sr Full Day
A0RD,UNA,Unassigned
A1AC,650-25,Retreat
A13C,661-17,ACF HeadStart PA22
A1GM,UNA,Unassigned
A0OL,355-26,Journey Home Unsheltered
A152,650-25,Retreat
A1NH,UNA,Unassigned
A1GX,UNA,Unassigned
A09X,446-26,VA Veterans Crossing
A1GK,605-17,Elderly Nutrition
A1TY,661-18,ACF HeadStart PA22
A207,661-18,ACF HeadStart PA22
A0CP,544-24,OEC Infant Daycare
A1TL,UNA,Unassigned
A1WW,638-25,Behavioral Health Services
A0M1,780-17,Asian Family Serv-behavioral Health
A0NG,UNA,Unassigned
A12Q,650-24,Retreat
A0B0,UNA,Unassigned
A1WN,417-18,Oec Headstart Services
A0L9,650-18,Retreat
A1VC,650-17,Retreat
A1UI,UNA,Unassigned
A1WK,UNA,Unassigned
A0P5,321-22,Htfd Health Community Responders
A182,UNA,Unassigned
A1TB,650-21,Retreat
A14R,650-17,Retreat
A1RY,659-17,salaries 2017
A1UQ,544-19,Oec Infanty Daycare
A1YQ,659-17,salaries 2017
A208,544-24,OEC Infant Daycare
A14B,514-17,Cafcs Ssbg
A1N3,582-17,East Hartford Shelter
A0GX,544-19,Oec Infanty Daycare
A099,609-17,Dss Csbg
A0AU,524-20,Dss Ceap Admin
A177,609-18,Dss Csbg
A1GH,650-19,Retreat
A140,694-22,Third Party Catering
A1GT,419-19,Coh Sr Full Day
A1O7,611-18,Dss His
A0T7,605C-24,Elderly Nutrition Congregate
A1DQ,661-18,ACF HeadStart PA22
A03O,699,Crt Local Unrestricted
A16T,699,Crt Local Unrestricted
A0PC,419-22,Coh Sr Full Day
A0IY,UNA,Unassigned
A15A,611F-24,DSS HSI Federal
A0KM,UNA,Unassigned
A004,UNA,Unassigned
A03L,544-23,Oec Infant Daycare
A0BO,UNA,Unassigned
A11L,UNA,Unassigned
A1C7,699,Crt Local Unrestricted
A1HS,UNA,Unassigned
A1QY,524-25,DSS CEAP Admin
A07N,UNA,Unassigned
A04H,UNA,Unassigned
A0DP,UNA,Unassigned
A0QR,412-18,Summer Youth
A1D0,650-18,Retreat
A0HY,650-19,Retreat
A18N,659-17,salaries 2017
A0XN,693-22,Womens Empowerment
A1P1,UNA,Unassigned
A0MC,650-24,Retreat
A0MY,582-19,East Hartford Shelter
A11R,UNA,Unassigned
A0MZ,332-23,Healthy Families
A15S,412-24,Summer Youth
A12U,661-18,ACF HeadStart PA22
A11S,650-25,Retreat
A0UM,UNA,Unassigned
A1VZ,UNA,Unassigned
A0LJ,661-18,ACF HeadStart PA22
A0Q2,669-18,CRT Local Unrestricted
A189,UNA,Unassigned
A1FH,337H-26,OPM Project Longevity Housing
A0A5,UNA,Unassigned
A047,524-21,Dss Ceap Admin
A05A,524-18,Dss Ceap Admin
A0HU,669-18,CRT Local Unrestricted
A0HK,661-17,ACF HeadStart PA22
A1TE,659-18,salaries 2017
A1RF,661-18,ACF HeadStart PA22
A0AQ,669-17,CRT Local Unrestricted
A010,UNA,Unassigned
A1Z4,UNA,Unassigned
A1K8,650-20,Retreat
A1HQ,363DOU-26,Douglas
A1LI,382-20,CRT PSH Consolidated
A1YN,569-26,Project Moo
A0SJ,661-18,ACF HeadStart PA22
A1MB,699,Crt Local Unrestricted
A1LJ,650-18,Retreat
A1S0,699,Crt Local Unrestricted
A0WO,UNA,Unassigned
A0FN,UNA,Unassigned
A1I9,661-17,ACF HeadStart PA22
A051,412-18,Summer Youth
A1DJ,UNA,Unassigned
A0CB,524-26,DSS CEAP Admin
A0RI,UNA,Unassigned
A02F,546-18,Dss Assurance 16
A1MZ,306S-26,DOC Scattered Site Housing
A0GW,699,Crt Local Unrestricted
A0KB,UNA,Unassigned
A07O,UNA,Unassigned
A0SS,611-18,Dss His
A15K,544-23,Oec Infant Daycare
A1D6,544-18,Oec Infanty Daycare
A0L3,661-18,ACF HeadStart PA22
A209,567-20,Va Ssvf 
A1W6,625-23,Ryan White Part B
A0JJ,605C-19,Congregate
A18J,659-18,salaries 2017
A1G2,UNA,Unassigned
A136,UNA,Unassigned
A130,661-18,ACF HeadStart PA22
A070,301-20,Deep Weatherization
A1OA,UNA,Unassigned
A1NX,UNA,Unassigned
A1B3,332-25,Healthy Families
A1WC,UNA,Unassigned
A115,UNA,Unassigned
A1NW,UNA,Unassigned
A0WG,605C-23,Elderly Nutrition Congregate
A0TR,UNA,Unassigned
A0S0,650-19,Retreat
A0VM,UNA,Unassigned
A12K,661-18,ACF HeadStart PA22
A1CE,UNA,Unassigned
A1NY,UNA,Unassigned
A09S,UNA,Unassigned
A1NI,UNA,Unassigned
A08T,332-25,Healthy Families
A0O8,UNA,Unassigned
A14E,332-24,Healthy Families
A142,524EI-22,Ceap Early Intake
A19Q,699,Crt Local Unrestricted
A18Y,UNA,Unassigned
A1MO,UNA,Unassigned
A012,UNA,Unassigned
A1F2,419-18,Coh Sr Full Day
A0K5,669-18,CRT Local Unrestricted
A16F,UNA,Unassigned
A0MP,UNA,Unassigned
A20A,321-26,Htfd Health Community Responders
A0DE,UNA,Unassigned
A031,UNA,Unassigned
A0UT,650-25,Retreat
A0DK,567-17,Va Ssvf
A139,UNA,Unassigned
A1VI,669-17,CRT Local Unrestricted
A0KC,UNA,Unassigned
A0VV,650-19,Retreat
A06Z,424-26,COH McKinney
A0DV,UNA,Unassigned
A16A,611S-26,DSS HSI State
A0XM,524-20,Dss Ceap Admin
A190,UNA,Unassigned
A1FR,508-23,DCF Chaps
A12P,699,Crt Local Unrestricted
A0YB,UNA,Unassigned
A0YA,661-18,ACF HeadStart PA22
A1U6,611-19,Dss His
A1VS,UNA,Unassigned
A1JT,375SA-19,Coh Ryan White Substance Abuse
A0BB,UNA,Unassigned
A0T6,650-22,Retreat
A0Y8,650-22,Retreat
A0MM,363RIT-26,Ritter
A0D0,544-21,Oec Infanty Daycare
A0JE,UNA,Unassigned
A1O0,650-19,Retreat
A1OJ,UNA,Unassigned
A1KK,UNA,Unassigned
A0MA,335-25,DSS Community Health Worker Grant
A14S,638-23,Behavioral Health Services
A1AQ,650-23,Retreat
A09D,524-22,Dss Ceap Admin
A1IA,650-22,Retreat
A1ZH,699,Crt Local Unrestricted
A1ZN,UNA,Unassigned
A09V,524-20,Dss Ceap Admin
A11Q,UNA,Unassigned
A00R,424-24,COH McKinney
A008,UNA,Unassigned
A01L,605HD-26,Elderly Nutrition Home Delivered
A0M7,419-19,Coh Sr Full Day
A0NC,661-18,ACF HeadStart PA22
A0LC,555-26,DMHAS Transitional Case Management
A14Z,609CO-22,CSBG CARES ACT
A0H7,699,Crt Local Unrestricted
A0G3,UNA,Unassigned
A0UD,UNA,Unassigned
A0IB,UNA,Unassigned
A0V0,564HD-22,Home Delivered
A0L0,582-18,East Hartford Shelter
A0X7,650-20,Retreat
A0X3,UNA,Unassigned
A1ON,605HD-25,Elderly Nutrition Home Delivered
A0RT,661-18,ACF HeadStart PA22
A02T,605HD-19,Home Delivered
A09M,611-19,Dss His
A0DX,UNA,Unassigned
A1LH,524EI-23,CEAP Early Intake
A0MX,611S-23,DSS HSI State
A0SI,UNA,Unassigned
A1Q5,UNA,Unassigned
A13M,650-17,Retreat
A17M,363DOU-26,Douglas
A1CK,524-26,DSS CEAP Admin
A1ZZ,699,Crt Local Unrestricted
A0VD,330-24,OEC Workforce Pipeline
A1H0,301-19,Deep Weatherization
A0NE,567-25,VA SSFF FY25
A0W6,UNA,Unassigned
A066,567CO-21,VA SSVF COVID-19
A1YJ,412-25,Summer Youth
A19F,489-26,WA Youth Employment Skills Training
A0FT,UNA,Unassigned
A098,564C-22,Congregate
A1H1,564HD-19,Home Delivered
A1IR,583-20,HUD Rapid Housing
A0RJ,564C-20,Congregate
A05E,UNA,Unassigned
A0Q1,508-26,DCF Chaps
A14G,UNA,Unassigned
A027,699,Crt Local Unrestricted
A0IC,661-18,ACF HeadStart PA22
A1QK,544-20,Oec Infanty Daycare
A0VE,544-19,Oec Infanty Daycare
A1CI,UNA,Unassigned
A1IC,524-24,DSS CEAP Admin
A09A,UNA,Unassigned
A1LO,375IIS-25,COH RW 2iS HIV Interventions
A0IW,UNA,Unassigned
A0Q4,UNA,Unassigned
A0VJ,363DOU-26,Douglas
A0Q8,UNA,Unassigned
A0O7,661-18,ACF HeadStart PA22
A0KT,605HD-23,Elderly Nutrition Home Delivered
A1AT,UNA,Unassigned
A17G,UNA,Unassigned
A0G9,UNA,Unassigned
A21F,524-26,DSS CEAP Admin
A05Q,524-20,Dss Ceap Admin
A1QN,699,Crt Local Unrestricted
A149,UNA,Unassigned
A15L,699,Crt Local Unrestricted
A0JV,UNA,Unassigned
A1CO,346-26,Journey Home - ARPA Diversion
A14U,UNA,Unassigned
A12G,UNA,Unassigned
A0BE,605HD-24,Elderly Nutrition Home Delivered
A06O,419-18,Coh Sr Full Day
A1KP,694-19,Third Party Catering
A1YM,544-19,Oec Infanty Daycare
A03G,UNA,Unassigned
A0NQ,UNA,Unassigned
A0W3,UNA,Unassigned
A0X8,321-22,Htfd Health Community Responders
A0PT,306S-23,DOC State Funded
A0B8,UNA,Unassigned
A1A0,611F-26,DSS HIS Federal
A02L,UNA,Unassigned
A0BN,424-17,Coh Mckinney
A17Z,605HD-19,Home Delivered
A1AA,623-22,Youthbuild
A08Z,605C-19,Congregate
A0AL,605C-23,Elderly Nutrition Congregate
A0MG,661-17,ACF HeadStart PA22
A17N,544-20,Oec Infanty Daycare
A05M,555-20,Dmhas Transitional Case Management
A10I,306S-25,DOC State Funded
A1SS,UNA,Unassigned
A1BX,661-18,ACF HeadStart PA22
A03K,412SU-20,CWP Summer Youth Start Up
A111,661-18,ACF HeadStart PA22
A102,638-23,Behavioral Health Services
A0TD,524-23,DSS CEAP Admin
A1F5,UNA,Unassigned
A0C1,544-23,Oec Infant Daycare
A0JK,661-18,ACF HeadStart PA22
A1QF,306-18,Program Salaries
A0WZ,650-24,Retreat
A1OH,UNA,Unassigned
A0ZN,UNA,Unassigned
A1AW,524-26,DSS CEAP Admin
A0XQ,UNA,Unassigned
A08Y,605-17,Elderly Nutrition
A0JM,UNA,Unassigned
A1P4,UNA,Unassigned
A0V5,650-24,Retreat
A0JG,446-26,VA Veterans Crossing
A1Q7,UNA,Unassigned
A15T,UNA,Unassigned
A174,605C-21,Congregate
A1QP,UNA,Unassigned
A07M,611S-21,State Portion
A1CC,UNA,Unassigned
A0A7,UNA,Unassigned
A16O,302-20,Weatherization
A17H,UNA,Unassigned
A0XT,UNA,Unassigned
A1IQ,638-20,Behavioral Health Services
A1BU,524-21,Dss Ceap Admin
A120,605HD-24,Elderly Nutrition Home Delivered
A07U,UNA,Unassigned
A0NN,524-26,DSS CEAP Admin
A1P3,544-21,Oec Infanty Daycare
A07Z,609CO-21,CSBG CARES ACT
A02G,UNA,Unassigned
A1YV,699,Crt Local Unrestricted
A1ZC,659-18,salaries 2017
A1D4,UNA,Unassigned
A0WB,661-18,ACF HeadStart PA22
A0FL,650-22,Retreat
A12O,650-18,Retreat
A0DS,638-19,Behavioral Health Services
A14Q,UNA,Unassigned
A0ZX,UNA,Unassigned
A1PO,699,Crt Local Unrestricted
A0ZL,321-23,Htfd Health Community Responders
A1F8,UNA,Unassigned
A0AZ,UNA,Unassigned
A0ZF,UNA,Unassigned
A06N,669-18,CRT Local Unrestricted
A0KQ,UNA,Unassigned
A18A,UNA,Unassigned
A1JK,605HD-25,Elderly Nutrition Home Delivered
A0VI,650-25,Retreat
A0QZ,564C-23,ENP Midstate Region Congregate
A118,UNA,Unassigned
A1D9,UNA,Unassigned
A1GU,661-17,ACF HeadStart PA22
A0IH,321-24,Htfd Health Community Responders
A0CA,638-24,Behavioral Health Services
A00C,UNA,Unassigned
A0VU,UNA,Unassigned
A1GS,419-23,Coh Sr Full Day
A0A2,661-17,ACF HeadStart PA22
A1IU,UNA,Unassigned
A15G,524-20,Dss Ceap Admin
A20B,524-26,DSS CEAP Admin
A1AS,UNA,Unassigned
A19I,419-22,Coh Sr Full Day
A1A2,UNA,Unassigned
A17U,301-26,Deep Weatherization
A1L6,544-17,Oec Infanty Daycare
A07F,UNA,Unassigned
A01V,412-19,Summer Youth
